id	type	from	to	text	ref	origin	time
003caf9db5820b10a40eff603f21f034	text	sb1693	pyaretoons-chat	ha apni hi ma ki phadega kya be chudke		web://49.249.136.128	1374057894858
003cb4c676a6f037f02952b254075f82	text	sb3858	pyaretoons-chat	So guys what is your most favourite 		web://117.192.54.66	1374037744889
007a02b4185a0c7e0e42f99f22b03270	text	( karan)	pyaretoons-chat	apan Back		web://182.19.5.3	1374056007686
0099997f85caa7bce9c9bc68c2f4fc88	text	kooldude	pyaretoons-chat	asl?		web://14.99.81.134	1374919808452
00a7eee9a204d1007b5113901a081633	text	sb54	pyaretoons-chat	bankelal		web://115.109.85.7	1374165379177
00c2feb79b4e8b6016a7a02729cd7c68	text	sb7613	pyaretoons-chat	hie		web://14.97.31.52	1374064814865
00d5217b6e11be20cd377594c22654d9	text	sb5226	pyaretoons-chat	hooooooooooooooooooooooooooooooo		web://124.253.101.42	1374163664246
00e754ac48ba2b431e5670f7043e172d	text	sb4860	pyaretoons-chat	who r u ?		web://124.253.251.17	1375034663929
00e8d40747f9f01d5c55491d310cb736	text	sb8993	pyaretoons-chat	that can we download these comics from here?		web://173.245.55.110	1374146969576
01072f7a69dd6e0bf28c078b3d038162	text	sb6707	pyaretoons-chat	hi		web://106.192.11.66	1374501405057
01192a5fafdb0ee3141fa457281df0c3	text	sb438	pyaretoons-chat	hey		web://123.236.34.46	1374482246882
011ab1710a0f1dd061e4eef4a8cc4add	text	(karan)	pyaretoons-chat	relexe 9380		web://182.19.5.3	1374057863817
011d2b59d6d4c6679568292dccc5caf4	text	sb9060	pyaretoons-chat	delhi		web://182.68.187.92	1374083005885
012572ddb6ac68ee1d9861efce4ca2c9	text	sb9644	pyaretoons-chat	saaaaaaaaaaaaaaaaaaa		web://124.253.134.31	1374431196690
01306f3c126e129fb8933e4178841144	text	sb1267	pyaretoons-chat	hi		web://110.34.4.243	1375084317901
0138cfe45732fa5d8ad71757c15c7aa4	text	rishi	pyaretoons-chat	Pyare toons version 4		web://182.19.5.3	1374751176587
0153da623ea381ab7ba3596f5f28d743	text	sb3579	pyaretoons-chat	oye sb 6483 kaya sirf caht dekhne aya hai kaya :P		web://117.205.9.86	1375221145895
0157bb22c9144755c7b047e2d30e4376	text	sb7613	pyaretoons-chat	used 2		web://14.97.31.52	1374065258882
0180cb4d900200bd081c47e82e853f08	text	sb7448	pyaretoons-chat	saaaaaaaaaaaaaaaaaaaaa		web://124.253.101.42	1374156351580
0185a31fe71b6c9cb3b6b4c120464a80	text	sb6852	pyaretoons-chat	wakadoki is most powerful		web://122.168.210.241	1374165386274
